ticker,name,market_cap,avg_volume_3m,price,exchange,quote_type,type_disp,currency,source,discovered_at
NVDA,NVIDIA Corporation,4161988460544.0,174903088.0,171.24,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AAPL,Apple Inc.,3716958388224.0,46586027.0,252.89,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
GOOGL,Alphabet Inc.,3398289588224.0,32649994.0,280.92,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
GOOG,Alphabet Inc.,3396111695872.0,20855296.0,280.74,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MSFT,Microsoft Corporation,2720027377664.0,34174708.0,365.97,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AMZN,"Amazon.com, Inc.",2227925417984.0,48889476.0,207.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
TSM,Taiwan Semiconductor Manufacturing Company Limited,1691370913792.0,13448255.0,326.11,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AVGO,Broadcom Inc.,1467021262848.0,26234215.0,309.415,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
TSLA,"Tesla, Inc.",1396317356032.0,60756706.0,372.11,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
META,"Meta Platforms, Inc.",1385032712192.0,14442864.0,547.54,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
BRK-B,Berkshire Hathaway Inc.,1025096024064.0,4784257.0,475.27,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
WMT,Walmart Inc.,974068187136.0,31058015.0,122.18,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
LLY,Eli Lilly and Company,802831794176.0,3071144.0,897.0,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
JPM,JPMorgan Chase & Co.,786616483840.0,10893884.0,291.66,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
XOM,Exxon Mobil Corporation,689307648000.0,21091210.0,165.43,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
V,Visa Inc.,589073940480.0,7744538.0,305.53,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
JNJ,Johnson & Johnson,576544243712.0,8638918.0,239.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
ASML,ASML Holding N.V.,522039721984.0,1746291.0,1329.5,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MA,Mastercard Incorporated,446888181760.0,3793413.0,500.75,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
COST,Costco Wholesale Corporation,434836668416.0,2252254.0,979.65,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
CVX,Chevron Corporation,415445680128.0,12332432.0,207.79,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
ORCL,Oracle Corporation,410728136704.0,26835877.0,142.81,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MU,"Micron Technology, Inc.",400864313344.0,36363191.0,355.46,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
NFLX,"Netflix, Inc.",395853135872.0,48441452.0,93.32,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
ABBV,AbbVie Inc.,373421113344.0,7058505.0,211.12,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
PLTR,Palantir Technologies Inc.,352915652608.0,48254947.0,147.56,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
BAC,Bank of America Corporation,346203160576.0,41017757.0,48.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
PG,The Procter & Gamble Company,332797575168.0,11460657.0,142.42,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AMD,"Advanced Micro Devices, Inc.",332228820992.0,36274357.0,203.77,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
CAT,Caterpillar Inc.,329078571008.0,2803688.0,703.19,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
HD,"The Home Depot, Inc.",327120027648.0,4118537.0,328.43,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
CSCO,"Cisco Systems, Inc.",324621926400.0,23332288.0,82.16,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
KO,The Coca-Cola Company,321477214208.0,17924930.0,74.69,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
GE,GE Aerospace,300875087872.0,5421259.0,285.24,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
BABA,Alibaba Group Holding Limited,299405443072.0,12117930.0,125.41,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MRK,"Merck & Co., Inc.",294041583616.0,12002774.0,118.93,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
NVS,Novartis AG,289380630528.0,2298169.0,149.7,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AZN,AstraZeneca PLC,284321972224.0,2974429.0,183.4,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
HSBC,HSBC Holdings plc,273733074944.0,2190445.0,79.63,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AMAT,"Applied Materials, Inc.",268676612096.0,7451411.0,338.55,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
LRCX,Lam Research Corporation,265801056256.0,11630640.0,211.62,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
RTX,RTX Corporation,259571138560.0,6124408.0,192.85,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
SHEL,Shell plc,259346939904.0,6173833.0,92.16,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MS,Morgan Stanley,259186409472.0,7224172.0,163.23,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
PM,Philip Morris International Inc.,253245603840.0,5308971.0,162.49,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
GS,"The Goldman Sachs Group, Inc.",244120829952.0,2451030.0,822.64,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
WFC,Wells Fargo & Company,243826917376.0,16854761.0,79.02,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
UNH,UnitedHealth Group Incorporated,243302498304.0,9503616.0,268.05,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
GEV,GE Vernova Inc.,236895305728.0,2764322.0,873.12,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
TMUS,"T-Mobile US, Inc.",236664815616.0,6004877.0,211.59,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
LIN,Linde plc,229607161856.0,2634823.0,495.49,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
IBM,International Business Machines Corporation,226785329152.0,5818806.0,241.67,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
RY,Royal Bank of Canada,223648186368.0,1349506.0,160.19,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
INTC,Intel Corporation,221426548736.0,104905003.0,44.1,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
MCD,McDonald's Corporation,220453814272.0,3222067.0,308.93,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
VZ,Verizon Communications Inc.,214005301248.0,31597718.0,50.74,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
PEP,"PepsiCo, Inc.",206235926528.0,7940544.0,150.83,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AXP,American Express Company,205565378560.0,3552644.0,299.39,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
T,AT&T Inc.,202456694784.0,44477611.0,28.92,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
C,Citigroup Inc.,196640964608.0,14790864.0,112.41,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
SAP,SAP SE,196470702080.0,2886516.0,167.08,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
TTE,TotalEnergies SE,192922894336.0,1777198.0,89.95,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
KLAC,KLA Corporation,190667358208.0,1097293.0,1451.13,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
AMGN,Amgen Inc.,190377132032.0,2740533.0,353.16,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:35:25
