ticker,name,market_cap,avg_volume_3m,price,exchange,quote_type,type_disp,currency,source,discovered_at
MS,Morgan Stanley,259186409472.0,7224172.0,163.23,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
PM,Philip Morris International Inc.,253245603840.0,5308971.0,162.49,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
GS,"The Goldman Sachs Group, Inc.",244120829952.0,2451030.0,822.64,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
WFC,Wells Fargo & Company,243826917376.0,16854761.0,79.02,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
UNH,UnitedHealth Group Incorporated,243302498304.0,9503616.0,268.05,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
GEV,GE Vernova Inc.,236895305728.0,2764322.0,873.12,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
TMUS,"T-Mobile US, Inc.",236664815616.0,6004877.0,211.59,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
LIN,Linde plc,229607161856.0,2634823.0,495.49,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
IBM,International Business Machines Corporation,226785329152.0,5818806.0,241.67,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
RY,Royal Bank of Canada,223648186368.0,1349506.0,160.19,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
INTC,Intel Corporation,221426548736.0,104905003.0,44.1,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
MCD,McDonald's Corporation,220453814272.0,3222067.0,308.93,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
VZ,Verizon Communications Inc.,214005301248.0,31597718.0,50.74,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
PEP,"PepsiCo, Inc.",206235926528.0,7940544.0,150.83,NasdaqGS,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
AXP,American Express Company,205565378560.0,3552644.0,299.39,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
T,AT&T Inc.,202456694784.0,44477611.0,28.92,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
C,Citigroup Inc.,196640964608.0,14790864.0,112.41,NYSE,EQUITY,Equity,USD,yahoo_screener,2026-03-27T18:43:20
